subject,body,category,priority,channel
Cancel my trial before it converts,I'd appreciate a quick response. I want to cancel and receive a prorated refund for the unused portion of my subscription. Best.,Subscription Cancellation,Medium,Email
Report generation fails every time,Following up again as I haven't heard back. The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time.,Bug Report,High,Web Form
Charts not rendering in dashboard,Thanks in advance for your help. Running a report always times out and crashes. I have only 200 records — it should not take that long. Best.,Bug Report,Medium,Social Media
Browser extension crashing,I'd appreciate a quick response. All charts on my analytics page show as blank rectangles. They were working fine yesterday. I expect to hear back within 24 hours.,Bug Report,High,Email
Unable to reset my password,I'm writing to urgently request help. I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in?,Login Issue,Urgent,Web Form
Invoice shows incorrect amount,I'd appreciate a quick response. I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on? I expect to hear back within 24 hours.,Payment Problem,High,Email
Platform lagging during peak hours,Following up again as I haven't heard back. The delay in loading data has tripled compared to last week. Please look into server-side performance.,Performance Issue,High,Chat
Password reset link not working,I hope you can assist me quickly. My account was suddenly disabled. I didn't violate any terms. Please tell me what happened and restore access.,Login Issue,High,Phone
Someone changed my account email without permission,I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately. Thank you for your time.,Security Concern,High,Chat
Payment failed but I was still charged,I was charged in USD but my plan is supposed to be billed in EUR. This is incorrect. Looking forward to a resolution.,Payment Problem,Medium,Chat
Cannot log into my account,Please treat this as a high priority. The magic link login emails aren't arriving. I've checked my spam folder and there's nothing there. Best.,Login Issue,High,Phone
My 2FA was bypassed somehow,I hope you can assist me quickly. Our team account shows activity from an IP we don't recognize. We suspect unauthorized access.,Security Concern,High,Email
Add ability to schedule reports,I'm very disappointed with the service. Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work. Regards.,Feature Request,Medium,Email
Please add keyboard shortcuts,I hope you can assist me quickly. We share the portal with clients and need our own branding on it. White-labeling would be very valuable.,Feature Request,Low,Chat
Cannot load any page – timeout errors,"I've been a loyal customer and this is unacceptable. This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this. Looking forward to a resolution.",Performance Issue,High,Social Media
API response times are unacceptable,Is there a known outage? The platform has been nearly inaccessible for the past two hours. Please respond ASAP.,Performance Issue,Medium,Phone
Cannot load any page – timeout errors,"I'm not sure who to contact so I'm trying here. This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this. I expect to hear back within 24 hours.",Performance Issue,Medium,Social Media
Invoice shows incorrect amount,I've been on hold for payment support for 40 minutes. This is beyond frustrating. Please fix the billing error. Regards.,Payment Problem,Urgent,Chat
Two-factor authentication code not arriving,The password reset link you sent me expired before I could use it. Please send a new one. Thanks.,Login Issue,Urgent,Chat
Refund for duplicate charge,I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Regards.,Refund Request,Medium,Chat
Invoice shows incorrect amount,I'm not sure who to contact so I'm trying here. The discount I was promised by your sales team is not reflected on my bill. Please correct it. Thanks.,Payment Problem,Medium,Phone
I want my payment reversed,Following up again as I haven't heard back. My account was cancelled but I was still charged for the next billing cycle. Please reimburse me. I expect to hear back within 24 hours.,Refund Request,Medium,Web Form
Refund status inquiry,I'm not sure who to contact so I'm trying here. I see two identical charges from your company on my bank statement. Please refund the extra one immediately.,Refund Request,Medium,Email
API response times are unacceptable,Thanks in advance for your help. Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long. Thanks.,Performance Issue,Medium,Web Form
Urgent: security breach on my organization account,I'd appreciate a quick response. Our team account shows activity from an IP we don't recognize. We suspect unauthorized access.,Security Concern,Urgent,Social Media
Money deducted twice – need it back,I'm not sure who to contact so I'm trying here. Requesting refund for services not rendered. The feature I paid for was unavailable throughout the month. Thanks.,Refund Request,Medium,Email
Google login not working,The password reset link you sent me expired before I could use it. Please send a new one.,Login Issue,Urgent,Chat
High latency in your service,Your API endpoints are responding in 8-12 seconds. We need sub-second responses for our integration to work. Thanks.,Performance Issue,High,Email
Cancelling due to high pricing,I hope you can assist me quickly. I can't find the cancel button in my account settings. Can you cancel it from your end?,Subscription Cancellation,Medium,Social Media
Where is my refund?,I asked for a refund last week via chat but the agent said someone would follow up. No one has. Please act now.,Refund Request,Medium,Email
File uploads are painfully slow,Honestly this is really frustrating. API calls that took 200ms now take over 2000ms. Something must have changed on your infrastructure. I expect to hear back within 24 hours.,Performance Issue,Medium,Web Form
Cancelling because features I need are missing,I've been a loyal customer and this is unacceptable. My renewal is coming up in 3 days. Please cancel before then so I'm not charged again. Thank you for your time.,Subscription Cancellation,Medium,Chat
Duplicate payment on my credit card,I cancelled before the billing date but was still charged. Please remove the charge. Regards.,Payment Problem,Urgent,Chat
Double billed this month,I asked for a refund last week via chat but the agent said someone would follow up. No one has. Please act now. Regards.,Refund Request,Medium,Social Media
Everything delayed since this morning,I'm writing to urgently request help. Is there a known outage? The platform has been nearly inaccessible for the past two hours.,Performance Issue,High,Web Form
Suspicious activity in my team account,I'd appreciate a quick response. I've been receiving phishing emails that look like they come from your company. You may have a spoofing issue. Thanks.,Security Concern,High,Social Media
Receiving phishing emails claiming to be from you,I'm writing to urgently request help. My account has 2FA enabled but someone got in without the code. How is that possible? Please investigate.,Security Concern,Urgent,Web Form
Suggestion: bulk export option,Following up again as I haven't heard back. We need role-based access control so we can limit what different team members can see and edit. I appreciate your help.,Feature Request,Medium,Web Form
Please confirm my cancellation,I've been a loyal customer and this is unacceptable. I'm on a free trial and want to cancel before it converts to a paid plan at the end of the week. Thanks.,Subscription Cancellation,High,Phone
Cancelling because features I need are missing,I've been a loyal customer and this is unacceptable. I want to remove the premium add-ons from my plan and cancel the main subscription as well. I appreciate your help.,Subscription Cancellation,Medium,Web Form
Cancel and refund remaining days,I hope you can assist me quickly. I want to cancel and receive a prorated refund for the unused portion of my subscription.,Subscription Cancellation,High,Web Form
My payment method isn't being accepted,Following up again as I haven't heard back. Your payment page gave me an error code 2301 during checkout. I can't complete my purchase. Thanks.,Payment Problem,High,Chat
Error during payment processing,I'm writing to urgently request help. Your payment page gave me an error code 6589 during checkout. I can't complete my purchase.,Payment Problem,Urgent,Email
Suggestion: bulk export option,"I hope you can assist me quickly. Hi, it would be really helpful to have a dark mode option. Long sessions on a bright screen are tiring.",Feature Request,Medium,Web Form
Suggestion: bulk export option,Please treat this as a high priority. We need role-based access control so we can limit what different team members can see and edit. Please respond ASAP.,Feature Request,Low,Web Form
App crashes on startup,I hope you can assist me quickly. The iOS app crashes immediately after the splash screen on iPhone 15 running iOS 17.4.,Bug Report,Medium,Web Form
Dropdown menu disappears on click,"Thanks in advance for your help. In dark mode, all the text in the Settings section becomes invisible — black text on dark background.",Bug Report,Medium,Social Media
Search is very slow,I'm writing to urgently request help. My dashboard is taking over 3 minutes to load. This is unworkable for my team. I appreciate your help.,Performance Issue,Medium,Email
Overcharged and want my money back,I purchased the wrong plan by mistake and I'd like a full refund. I cancelled within 30 minutes but haven't heard back. Thanks.,Refund Request,High,Chat
Cannot access account – urgent,I'd appreciate a quick response. The magic link login emails aren't arriving. I've checked my spam folder and there's nothing there. Regards.,Login Issue,Urgent,Phone
Form submission throws an error,"Honestly this is really frustrating. Whenever I try to save my project settings, I get an error message and nothing saves. Looking forward to a resolution.",Bug Report,Medium,Web Form
Unable to reset my password,Your mobile app won't let me sign in. It shows an authentication error and then kicks me back to the home screen.,Login Issue,Urgent,Social Media
Charged after cancellation – need refund,Thanks in advance for your help. My refund of $29 was supposed to post within 5 business days. It's been 9. Please investigate.,Refund Request,High,Email
My payment method isn't being accepted,I cancelled before the billing date but was still charged. Please remove the charge. Best.,Payment Problem,Medium,Email
Browser extension crashing,I'm very disappointed with the service. The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time. I appreciate your help.,Bug Report,Medium,Web Form
Images not uploading properly,I'm not sure who to contact so I'm trying here. I'm not getting any push notifications even though they're turned on in settings. Other users are getting them fine. I appreciate your help.,Bug Report,Medium,Email
Security audit raised concerns about your platform,Thanks in advance for your help. I believe my account was hacked. My profile info was changed and I didn't do it. Please help urgently. Please respond ASAP.,Security Concern,Urgent,Phone
Charts not rendering in dashboard,I'm not sure who to contact so I'm trying here. The submit button on the contact form doesn't work. I've clicked it multiple times and nothing happens.,Bug Report,Medium,Chat
Payment declined on valid card,I hope you can assist me quickly. My payment went through on my bank's end but the system says it failed and my account isn't activated. Please fix this. Looking forward to a resolution.,Payment Problem,Medium,Web Form
App is extremely slow today,I'm writing to urgently request help. Uploading a 2MB file is taking over 10 minutes. Our internet connection is fine — the issue is on your end.,Performance Issue,Medium,Email
Error during payment processing,Please treat this as a high priority. I can't add my new Visa card to the billing section. The form keeps rejecting it.,Payment Problem,Urgent,Chat
Cannot update my payment information,My bank says the payment cleared but your system still shows my account as past due. Thank you for your time.,Payment Problem,Urgent,Chat
Google login not working,"This is the third time I'm reaching out about this. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens.",Login Issue,High,Social Media
Suggestion: bulk export option,Please treat this as a high priority. Could you add a bulk export feature? Exporting records one at a time is very tedious. Best.,Feature Request,Low,Social Media
Unexpected charge on my statement,I've been a loyal customer and this is unacceptable. I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on? Thank you for your time.,Payment Problem,High,Phone
Mobile app crashes on iOS 17,"I'm very disappointed with the service. In dark mode, all the text in the Settings section becomes invisible — black text on dark background.",Bug Report,High,Email
Report generation fails every time,Every time I submit the onboarding form I get a 500 internal server error. I've tried three different browsers.,Bug Report,High,Web Form
Wrong data displayed after filter,I'm very disappointed with the service. Running a report always times out and crashes. I have only 200 records — it should not take that long. Thanks.,Bug Report,High,Web Form
Requesting refund for order #496086,I asked for a refund last week via chat but the agent said someone would follow up. No one has. Please act now. I expect to hear back within 24 hours.,Refund Request,Medium,Chat
Cancel my trial before it converts,Thanks in advance for your help. I submitted a cancellation request last week but haven't received confirmation. Please confirm. Thanks.,Subscription Cancellation,High,Chat
How do I cancel before next billing?,Thanks in advance for your help. I want to remove the premium add-ons from my plan and cancel the main subscription as well.,Subscription Cancellation,High,Chat
Search results showing wrong items,I'd appreciate a quick response. I exported a PDF report and entire sections are missing. The data is there in the app but not in the export. Best.,Bug Report,High,Web Form
Browser extension crashing,This is the third time I'm reaching out about this. The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time. Thanks.,Bug Report,Medium,Chat
Login page keeps refreshing without signing me in,I'm very disappointed with the service. I can't remember which email I registered with. Can you look up my account by my name or phone number? I appreciate your help.,Login Issue,High,Social Media
Please process my refund immediately,I hope you can assist me quickly. It's been two weeks since I requested a refund and there's been no update. This is unacceptable. Please escalate.,Refund Request,High,Chat
Possible SQL injection vulnerability found,My account has 2FA enabled but someone got in without the code. How is that possible? Please investigate. Regards.,Security Concern,High,Email
Cancel my trial before it converts,Honestly this is really frustrating. I'm submitting this on behalf of our company. Please cancel all seats on our organization account. I appreciate your help.,Subscription Cancellation,High,Email
Request: custom branding for client portals,Please treat this as a high priority. Our integration needs higher API rate limits. Is there a plan option that allows more requests per minute?,Feature Request,Low,Web Form
Request: email digest summary,This is the third time I'm reaching out about this. An audit log showing who made what changes is important for our compliance requirements. Please add this. Thanks.,Feature Request,Medium,Web Form
I want to cancel my subscription,This is the third time I'm reaching out about this. I'm on a free trial and want to cancel before it converts to a paid plan at the end of the week.,Subscription Cancellation,High,Email
Dashboard takes minutes to load,I've been a loyal customer and this is unacceptable. Something is wrong this morning. Nothing loads in under 30 seconds.,Performance Issue,High,Chat
Payment receipt not received,Following up again as I haven't heard back. The invoice I received shows $19 but my plan should only be $29 per month. Please correct this. I expect to hear back within 24 hours.,Payment Problem,Medium,Email
Downgrading and cancelling add-ons,I'm not sure who to contact so I'm trying here. I want to cancel our annual plan. We're 4 months in. Please advise on the cancellation process. Regards.,Subscription Cancellation,Medium,Web Form
Payment declined on valid card,I'm very disappointed with the service. I've been on hold for payment support for 40 minutes. This is beyond frustrating. Please fix the billing error. Thanks.,Payment Problem,Urgent,Phone
Search is very slow,The application has been incredibly slow all morning. Every action takes 10+ seconds to complete. Best.,Performance Issue,Medium,Chat
Charged after cancellation – need refund,Thanks in advance for your help. I see two identical charges from your company on my bank statement. Please refund the extra one immediately.,Refund Request,High,Phone
Login error on mobile app,"Honestly this is really frustrating. I'm stuck in a login loop. Every time I authenticate, it brings me right back to the sign-in page.",Login Issue,Urgent,Social Media
Charged after cancellation – need refund,I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Thanks.,Refund Request,Medium,Email
Mobile app crashes on iOS 17,Please treat this as a high priority. Running a report always times out and crashes. I have only 200 records — it should not take that long.,Bug Report,High,Email
App is extremely slow today,I'm not sure who to contact so I'm trying here. Your platform seems overloaded during peak hours (9am–11am). We can barely use it. Looking forward to a resolution.,Performance Issue,Medium,Chat
Charged in wrong currency,This is the third time I'm reaching out about this. I cancelled before the billing date but was still charged. Please remove the charge.,Payment Problem,Urgent,Social Media
Overcharged and want my money back,I want a reimbursement for the subscription that was auto-renewed without my consent.,Refund Request,Medium,Social Media
Account accessed from another country,I'm not sure who to contact so I'm trying here. Someone changed the email address on my account without my permission. I need this reversed immediately. Regards.,Security Concern,Urgent,Web Form
I think my account was hacked,Thanks in advance for your help. Someone changed the email address on my account without my permission. I need this reversed immediately. Please respond ASAP.,Security Concern,High,Web Form
Immediate cancellation requested,The pricing has gone up significantly and it's no longer within our budget. Please cancel. I appreciate your help.,Subscription Cancellation,High,Chat
Team account cancellation request,We've decided to switch to an alternative solution. Please cancel our subscription immediately. Looking forward to a resolution.,Subscription Cancellation,High,Email
Add ability to schedule reports,I hope you can assist me quickly. Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap? Please respond ASAP.,Feature Request,Medium,Social Media
Billing cycle confusion – wrong amount charged,I hope you can assist me quickly. The discount I was promised by your sales team is not reflected on my bill. Please correct it. Thank you for your time.,Payment Problem,High,Email
Suspicious login from unknown location,I'd appreciate a quick response. Someone changed the email address on my account without my permission. I need this reversed immediately. Looking forward to a resolution.,Security Concern,Urgent,Phone
Old card being charged despite update,I'm writing to urgently request help. Two charges appeared on my credit card for the same transaction date. Only one should have processed.,Payment Problem,Urgent,Chat
My API key may be compromised,There are two unfamiliar devices listed in my active sessions. I don't own those devices. Please remove them.,Security Concern,Urgent,Phone
Cancel my trial before it converts,I'm not sure who to contact so I'm trying here. We've decided to switch to an alternative solution. Please cancel our subscription immediately.,Subscription Cancellation,High,Phone
Suspicious activity in my team account,Please treat this as a high priority. I'm concerned my personal data may have been exposed. I received an email suggesting there was a breach. Thanks.,Security Concern,High,Web Form
Refund for unauthorized transaction,Please treat this as a high priority. This is the second time I've been double charged. I'm very frustrated. Please issue the refund today. Best.,Refund Request,High,Email
Response time has tripled,This is the third time I'm reaching out about this. The application has been incredibly slow all morning. Every action takes 10+ seconds to complete.,Performance Issue,High,Web Form
Data sync is delayed by hours,The search function is very slow. It takes up to 15 seconds to return results for a simple query. I appreciate your help.,Performance Issue,High,Chat
Cancelling due to high pricing,I've been a loyal customer and this is unacceptable. I can't find the cancel button in my account settings. Can you cancel it from your end? I expect to hear back within 24 hours.,Subscription Cancellation,Medium,Chat
Session keeps expiring immediately,Please treat this as a high priority. Our company's IT team changed our email domain and now none of us can log in. We need urgent help. Thanks.,Login Issue,High,Chat
Unexpected charge on my statement,I'd appreciate a quick response. Two charges appeared on my credit card for the same transaction date. Only one should have processed. Please respond ASAP.,Payment Problem,Urgent,Email
Mobile app crashes on iOS 17,I'm writing to urgently request help. I exported a PDF report and entire sections are missing. The data is there in the app but not in the export. I expect to hear back within 24 hours.,Bug Report,Medium,Social Media
App performance degraded since last update,"I've been a loyal customer and this is unacceptable. This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this. I expect to hear back within 24 hours.",Performance Issue,Medium,Chat
Data breach concern – please investigate,I'm writing to urgently request help. Our security team flagged several issues with your platform during an audit. Please contact our CISO.,Security Concern,Urgent,Chat
I never wanted to renew – please cancel,I want to cancel our annual plan. We're 4 months in. Please advise on the cancellation process.,Subscription Cancellation,Medium,Chat
Would love a custom reporting feature,Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work. Please respond ASAP.,Feature Request,Low,Web Form
Unable to sign in after password change,The magic link login emails aren't arriving. I've checked my spam folder and there's nothing there.,Login Issue,High,Email
Can't get past the verification step,"My account seems to be locked. I've only entered my password incorrectly twice, not ten times.",Login Issue,High,Email
Transaction failed – money missing from account,Following up again as I haven't heard back. I've been on hold for payment support for 40 minutes. This is beyond frustrating. Please fix the billing error.,Payment Problem,High,Phone
My password was leaked in your breach,Our team account shows activity from an IP we don't recognize. We suspect unauthorized access. Looking forward to a resolution.,Security Concern,Urgent,Email
Cancel on behalf of my organization,I'm writing to urgently request help. The features we were promised during sales haven't been delivered. That's why we're cancelling. Thank you for your time.,Subscription Cancellation,Medium,Email
Suspicious activity in my team account,Please treat this as a high priority. I was notified by HaveIBeenPwned that my credentials from your service were leaked. Please advise.,Security Concern,High,Social Media
Unauthorized API calls using my credentials,Following up again as I haven't heard back. My API key is being used to make calls I didn't authorize. Something has compromised it. Thank you for your time.,Security Concern,High,Email
Password reset link not working,Please treat this as a high priority. I've tried every browser and cleared cache and cookies but still cannot sign in to my account. Best.,Login Issue,Urgent,Email
My password was leaked in your breach,I'm writing to urgently request help. I accidentally exposed my API key in a public repo. Please revoke it immediately and issue a new one.,Security Concern,High,Email
Downgrading and cancelling add-ons,Thanks in advance for your help. I'm submitting this on behalf of our company. Please cancel all seats on our organization account. Thanks.,Subscription Cancellation,High,Web Form
Payment failed but I was still charged,Honestly this is really frustrating. My bank says the payment cleared but your system still shows my account as past due. I expect to hear back within 24 hours.,Payment Problem,Urgent,Phone
Switching to a competitor – please cancel,I hope you can assist me quickly. The pricing has gone up significantly and it's no longer within our budget. Please cancel.,Subscription Cancellation,High,Chat
Please add two-way sync with Google Sheets,I'm not sure who to contact so I'm trying here. Our team would benefit from a shared view where we can see who is working on what in real time. Thank you for your time.,Feature Request,Medium,Social Media
Unknown devices listed in my account,This is the third time I'm reaching out about this. I found a security vulnerability in your login page. The session token is not being invalidated on logout. Looking forward to a resolution.,Security Concern,High,Email
Suspicious activity in my team account,I'm not sure who to contact so I'm trying here. I'm concerned my personal data may have been exposed. I received an email suggesting there was a breach.,Security Concern,High,Chat
Old card being charged despite update,Thanks in advance for your help. I cancelled before the billing date but was still charged. Please remove the charge. Thanks.,Payment Problem,High,Web Form
I need a refund ASAP,This is the second time I've been double charged. I'm very frustrated. Please issue the refund today. Regards.,Refund Request,High,Email
Two-factor authentication code not arriving,I'm writing to urgently request help. I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in? Best.,Login Issue,Urgent,Email
Receiving phishing emails claiming to be from you,I'm not sure who to contact so I'm trying here. Your login logs show access from a foreign country at 3am. That was not me. Please freeze my account. I expect to hear back within 24 hours.,Security Concern,High,Web Form
Password reset link not working,This is the third time I'm reaching out about this. Our company's IT team changed our email domain and now none of us can log in. We need urgent help. Thank you for your time.,Login Issue,Urgent,Phone
Cancel my trial before it converts,Honestly this is really frustrating. I can't find the cancel button in my account settings. Can you cancel it from your end?,Subscription Cancellation,High,Email
My 2FA was bypassed somehow,This is the third time I'm reaching out about this. My API key is being used to make calls I didn't authorize. Something has compromised it. Regards.,Security Concern,Urgent,Email
Promo code not applied to invoice,I'm very disappointed with the service. I've been on hold for payment support for 40 minutes. This is beyond frustrating. Please fix the billing error. I expect to hear back within 24 hours.,Payment Problem,High,Email
App is extremely slow today,The application has been incredibly slow all morning. Every action takes 10+ seconds to complete. Best.,Performance Issue,Medium,Email
Reimbursement for unused subscription days,I've been a loyal customer and this is unacceptable. My account was cancelled but I was still charged for the next billing cycle. Please reimburse me. Looking forward to a resolution.,Refund Request,Medium,Phone
Slow load times affecting our team productivity,Honestly this is really frustrating. The mobile app is freezing and lagging constantly. Tapping buttons takes 3-4 seconds to register. Please respond ASAP.,Performance Issue,Medium,Chat
Please don't auto-renew my subscription,I'm writing to urgently request help. The features we were promised during sales haven't been delivered. That's why we're cancelling. Please respond ASAP.,Subscription Cancellation,Medium,Chat
App freezes when opening large files,I'm very disappointed with the service. Images fail to upload after the progress bar hits 50%. The upload just stops and shows a vague error. Thank you for your time.,Bug Report,High,Web Form
Suggestion: offline mode for mobile,Please treat this as a high priority. A weekly email digest with a summary of activity would be very useful. Even a simple version would help.,Feature Request,Medium,Phone
Promo code not applied to invoice,Your payment page gave me an error code 9751 during checkout. I can't complete my purchase. Thank you for your time.,Payment Problem,Urgent,Email
Report generation fails every time,I'm very disappointed with the service. My dashboard data is completely blank even though I can see records in the backend. Something is broken.,Bug Report,Medium,Social Media
Reimbursement request – billing error,I've been a loyal customer and this is unacceptable. My account was cancelled but I was still charged for the next billing cycle. Please reimburse me.,Refund Request,Medium,Email
Billing cycle confusion – wrong amount charged,Your payment page gave me an error code 4519 during checkout. I can't complete my purchase.,Payment Problem,Medium,Chat
Cannot load any page – timeout errors,I hope you can assist me quickly. Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long.,Performance Issue,Medium,Web Form
Wrong item charged – requesting refund,"Hi there, accidental subscription renewal — I had already switched providers. Can I get my money back? Thanks.",Refund Request,Medium,Email
Request for API rate limit increase,Following up again as I haven't heard back. Offline mode for the mobile app would be a huge improvement. We often work in areas with poor connectivity.,Feature Request,Medium,Web Form
Form submission throws an error,Every time I submit the onboarding form I get a 500 internal server error. I've tried three different browsers.,Bug Report,High,Email
My password was leaked in your breach,I'm not sure who to contact so I'm trying here. I can access another user's private data through a URL parameter change. This is a serious vulnerability. Looking forward to a resolution.,Security Concern,Urgent,Chat
App crashes on startup,Thanks in advance for your help. Every time I submit the onboarding form I get a 500 internal server error. I've tried three different browsers. Thank you for your time.,Bug Report,High,Chat
Dropdown menu disappears on click,"I'm very disappointed with the service. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed.",Bug Report,Medium,Web Form
App is extremely slow today,I'd appreciate a quick response. The delay in loading data has tripled compared to last week. Please look into server-side performance. I appreciate your help.,Performance Issue,Medium,Phone
Charged in wrong currency,Honestly this is really frustrating. Your checkout page is broken on mobile. It spins forever after I hit submit but never confirms the payment.,Payment Problem,High,Chat
Transaction failed – money missing from account,My payment went through on my bank's end but the system says it failed and my account isn't activated. Please fix this.,Payment Problem,Urgent,Chat
Account locked after too many attempts,I'm not sure who to contact so I'm trying here. I've tried every browser and cleared cache and cookies but still cannot sign in to my account. I expect to hear back within 24 hours.,Login Issue,Urgent,Email
Unable to reset my password,"Thanks in advance for your help. I'm stuck in a login loop. Every time I authenticate, it brings me right back to the sign-in page.",Login Issue,Urgent,Chat
Notifications not appearing,Please treat this as a high priority. My dashboard data is completely blank even though I can see records in the backend. Something is broken. Please respond ASAP.,Bug Report,High,Email
Downgrading and cancelling add-ons,Please treat this as a high priority. I submitted a cancellation request last week but haven't received confirmation. Please confirm. Best.,Subscription Cancellation,High,Chat
Error during payment processing,Your payment page gave me an error code 8106 during checkout. I can't complete my purchase. Thanks.,Payment Problem,Urgent,Email
Refund status inquiry,Please treat this as a high priority. I bought an annual plan but realized it's not suitable for my team. I'd like a full reimbursement within the cancellation window.,Refund Request,Medium,Web Form
Browser extension crashing,I've been trying to upload a 5MB attachment for 20 minutes. It gets to 99% and just hangs forever. Best.,Bug Report,High,Chat
Error during payment processing,I'd appreciate a quick response. Two charges appeared on my credit card for the same transaction date. Only one should have processed. I appreciate your help.,Payment Problem,Medium,Chat
Can't get past the verification step,I'd appreciate a quick response. The verification email for new device login is not coming through. I need access right now.,Login Issue,Urgent,Email
PDF export has missing content,"This is the third time I'm reaching out about this. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed.",Bug Report,Medium,Phone
Strange emails being sent from my account,I'd appreciate a quick response. I found a reflected XSS vulnerability in your search results page. I can share the details with your team. Please respond ASAP.,Security Concern,High,Chat
Feature request: role-based access control,We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French. Thanks.,Feature Request,Medium,Phone
Notifications not appearing,Every time I submit the onboarding form I get a 500 internal server error. I've tried three different browsers. Best.,Bug Report,High,Chat
Please add keyboard shortcuts,"Thanks in advance for your help. Hi, it would be really helpful to have a dark mode option. Long sessions on a bright screen are tiring. Regards.",Feature Request,Medium,Web Form
Accidental purchase – please refund,"Following up again as I haven't heard back. After I downgraded my plan last week, I still got billed for the higher tier. Please correct this and refund me. Looking forward to a resolution.",Refund Request,High,Social Media
Closing my account – cancellation request,I'm writing to urgently request help. Our entire team is leaving the platform. Please cancel all accounts under our organization domain. I expect to hear back within 24 hours.,Subscription Cancellation,High,Chat
Session keeps expiring immediately,"I'm not sure who to contact so I'm trying here. After changing my password, the system still won't let me access my account. It keeps saying invalid credentials. Looking forward to a resolution.",Login Issue,High,Phone
Refund for unauthorized transaction,I'd appreciate a quick response. Your system billed me two times for the same subscription. I expect the extra charge to be reversed immediately. Looking forward to a resolution.,Refund Request,Medium,Chat
XSS vulnerability in your web app,Your login logs show access from a foreign country at 3am. That was not me. Please freeze my account.,Security Concern,High,Social Media
Locked out of my account,I hope you can assist me quickly. I sign in successfully and then immediately get logged out again. This has been happening all day. I appreciate your help.,Login Issue,Urgent,Email
I no longer need this service,I'm closing down my business and no longer need the platform. Please deactivate my account. I expect to hear back within 24 hours.,Subscription Cancellation,Medium,Phone
Response time has tripled,Following up again as I haven't heard back. The delay in loading data has tripled compared to last week. Please look into server-side performance. Best.,Performance Issue,High,Email
Your servers seem overloaded today,The delay in loading data has tripled compared to last week. Please look into server-side performance.,Performance Issue,High,Web Form
Accidental purchase – please refund,I'm very disappointed with the service. My refund of $29 was supposed to post within 5 business days. It's been 9. Please investigate.,Refund Request,Medium,Chat
App freezes when opening large files,Your Chrome extension crashes my browser every time I try to use the text capture feature. Best.,Bug Report,Medium,Email
Login page keeps refreshing without signing me in,I have been trying to sign in for the past hour and keep getting an incorrect password error even though I just reset it. Regards.,Login Issue,Urgent,Email
Locked out of my account,Honestly this is really frustrating. Our company's IT team changed our email domain and now none of us can log in. We need urgent help. I appreciate your help.,Login Issue,High,Chat
Sync is failing with error code,Please treat this as a high priority. Running a report always times out and crashes. I have only 200 records — it should not take that long. Regards.,Bug Report,High,Email
Unauthorized access to my account,I'm not sure who to contact so I'm trying here. There are two unfamiliar devices listed in my active sessions. I don't own those devices. Please remove them. I appreciate your help.,Security Concern,High,Email
Slow load times affecting our team productivity,The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. Thanks.,Performance Issue,Medium,Email
Please don't auto-renew my subscription,I'm closing down my business and no longer need the platform. Please deactivate my account. Regards.,Subscription Cancellation,High,Social Media
Still waiting on my refund,I'm writing to urgently request help. Billing charged me for an account I already closed. Need this refunded urgently. Looking forward to a resolution.,Refund Request,High,Email
Data sync is delayed by hours,Your API endpoints are responding in 8-12 seconds. We need sub-second responses for our integration to work. Looking forward to a resolution.,Performance Issue,Medium,Phone
Can you add multi-language support?,"I hope you can assist me quickly. The search filters are quite basic. Adding filters for date range, status, and custom fields would be great. I appreciate your help.",Feature Request,Low,Email
Request: custom branding for client portals,I hope you can assist me quickly. A drag-and-drop interface for organizing tasks would make the platform much more intuitive to use.,Feature Request,Medium,Phone
I need a refund ASAP,I'm writing to urgently request help. I purchased the wrong plan by mistake and I'd like a full refund. I cancelled within 30 minutes but haven't heard back. Please respond ASAP.,Refund Request,High,Social Media
Payment declined on valid card,This is the third time I'm reaching out about this. I updated my card details last week but you're still charging the old card which is now expired. Thank you for your time.,Payment Problem,High,Social Media
Unexpected charge on my statement,Thanks in advance for your help. Your payment page gave me an error code 2110 during checkout. I can't complete my purchase. Looking forward to a resolution.,Payment Problem,High,Chat
